id;nom;region;departement;telephone;email
1;Forks bleeding-edge;Loop Outdoors synergy;Realigned New York Chicken;413.442.7504;Haley_Gaylord@gmail.com
2;wireless Wisconsin Chief;back-end Directives Credit Card Account;Cambridgeshire Chair Western Sahara;(449) 441-0645 x4191;Talon2@yahoo.com
3;Industrial TCP;Handmade Fresh Chair Unbranded ADP;pink;1-503-226-3465;Sanford90@gmail.com
4;back-end Branding;alarm;Group;991-519-9397;Crystel_Abbott56@gmail.com
5;back-end Awesome Granite Chair;Consultant Alaska;Refined Metal Tuna granular;745.083.6525 x047;Marlon_Lakin@gmail.com
6;Utah Turkish Lira Accounts;Handcrafted;Assistant Berkshire quantify;855.675.8951 x21327;Kayli76@hotmail.com
7;markets Vision-oriented generating;Ergonomic Granite Cheese Optimization calculating;Rupiah Lakes;863.930.2622 x122;Neva_Cummings18@gmail.com
8;Technician Mouse Central;USB salmon Home Loan Account;Sleek;1-137-060-0391 x34188;Toy2@gmail.com
9;Tasty;Jamaican Dollar supply-chains Wells;Gorgeous;(783) 687-7542 x849;Regan.Bauch@yahoo.com
10;payment;Berkshire;impactful Corporate;915-266-7074;Alfred_Bauch43@gmail.com
